Transaction No,Transaction Date / Time,Location,Toll Status*,Amount
1130811880,05-22-2018 07:36:19,E470 PLAZA D Lane 2 South,AVITOLL,$2.95
1130816761,05-22-2018 07:41:53,E470 PLAZA C Lane 2 South,AVITOLL,$2.70
1130823638,05-22-2018 07:47:22,E470 PLAZA B Lane 2 South,AVITOLL,$2.95
1130830818,05-22-2018 07:57:50,E470 PLAZA A Lane 2 South,AVITOLL,$2.70
1131063045,05-22-2018 16:55:30,E470 PLAZA A Lane 2 North,AVITOLL,$2.70
1131063355,05-22-2018 17:00:54,E470 GARTRELL RD Lane 1 North,AVITOLL,$1.25
1131075356,05-22-2018 17:16:58,E470 PLAZA B Lane 1 North,AVITOLL,$2.95
1131076054,05-22-2018 17:22:34,E470 PLAZA C Lane 2 North,AVITOLL,$2.70
1131090138,05-22-2018 17:28:15,E470 PLAZA D Lane 1 North,AVITOLL,$2.95
1131091028,05-22-2018 17:35:46,E470 US-85 Lane 1 North,AVITOLL,$1.25
1131323282,05-23-2018 07:20:29,E470 PLAZA D Lane 1 South,AVITOLL,$2.95
1131328555,05-23-2018 07:25:59,E470 PLAZA C Lane 1 South,AVITOLL,$2.70
1131332544,05-23-2018 07:31:28,E470 PLAZA B Lane 1 South,AVITOLL,$2.95
1131337143,05-23-2018 07:40:06,E470 JORDAN RD Lane 2 South,AVITOLL,$1.25
1131345307,05-23-2018 07:46:22,E470 PLAZA A Lane 3 South,AVITOLL,$2.70
1131557833,05-23-2018 16:18:47,E470 PLAZA A Lane 1 North,AVITOLL,$2.70
1131562691,05-23-2018 16:28:44,E470 PLAZA B Lane 2 North,AVITOLL,$2.95
1131574894,05-23-2018 16:34:37,E470 PLAZA C Lane 1 North,AVITOLL,$2.70
1131578163,05-23-2018 16:40:12,E470 PLAZA D Lane 1 North,AVITOLL,$2.95
1131784342,05-24-2018 07:42:06,E470 PLAZA D Lane 1 South,AVITOLL,$2.95
1131789885,05-24-2018 07:47:39,E470 PLAZA C Lane 1 South,AVITOLL,$2.70
1131792655,05-24-2018 07:53:14,E470 PLAZA B Lane 1 South,AVITOLL,$2.95
1131797844,05-24-2018 08:03:18,E470 PLAZA A Lane 3 South,AVITOLL,$2.70
1131989586,05-24-2018 16:25:56,E470 PLAZA A Lane 3 North,AVITOLL,$2.70
1132000037,05-24-2018 16:36:28,E470 PLAZA B Lane 1 North,AVITOLL,$2.95
1132004043,05-24-2018 16:42:14,E470 PLAZA C Lane 1 North,AVITOLL,$2.70
1132008929,05-24-2018 16:47:50,E470 PLAZA D Lane 2 North,AVITOLL,$2.95
1132278570,05-25-2018 08:52:31,E470 US-85 Lane 1 South,AVITOLL,$1.25
1132284673,05-25-2018 08:59:43,E470 PLAZA D Lane 1 South,AVITOLL,$2.95
1132284542,05-25-2018 09:05:12,E470 PLAZA C Lane 1 South,AVITOLL,$2.70
1132288835,05-25-2018 09:10:42,E470 PLAZA B Lane 1 South,AVITOLL,$2.95
1132289853,05-25-2018 09:20:22,E470 PLAZA A Lane 2 South,AVITOLL,$2.70
1132506194,05-25-2018 16:56:48,E470 PLAZA A Lane 3 North,AVITOLL,$2.70
1132513344,05-25-2018 17:06:38,E470 PLAZA B Lane 1 North,AVITOLL,$2.95
1132514096,05-25-2018 17:12:04,E470 PLAZA C Lane 2 North,AVITOLL,$2.70
1132520489,05-25-2018 17:17:32,E470 PLAZA D Lane 2 North,AVITOLL,$2.95
1133356501,05-29-2018 07:37:11,E470 PLAZA D Lane 1 South,AVITOLL,$2.95
1133321914,05-29-2018 07:42:57,E470 PLAZA C Lane 1 South,AVITOLL,$2.70
